x-coordinate [mm],y-coordinate [mm],x-displacement [mm],y-displacement [mm],G,K
55.6755737593208,16.35835497073936,0.0415053935902237,-0.0004747885917396,86400000000.0,108000000000.0
63.35316727067688,19.126851036012933,0.0453411724527093,-0.0014700772054201,79200000000.0,133000000000.0
3.29497938015027,1.792541416532556,0.0130665286031176,0.0023856159171694,57600000000.0,139000000000.0
30.6568677147774,18.77024166848376,0.0259189732798183,-0.0004890777794084,92900000000.0,87600000000.0
68.44980785245568,9.047531976679496,0.0551139384167802,0.0001028941943258,77100000000.0,89300000000.0
75.74570297952312,11.0394487453368,0.0659136561988146,-0.0002001674723108,63800000000.0,97000000000.0
34.92389342497265,13.460752624657204,0.0309822255715823,-0.0009445719129118,70800000000.0,94900000000.0
52.58814684979435,17.99576356873274,0.0436594996294636,-0.0013642702198921,68900000000.0,134000000000.0
79.54308013580768,4.273506032252749,0.0462164582204244,0.000628675457539,98000000000.0,131000000000.0
8.322872250942769,9.880239160487672,0.0176622033365624,3.5396493654032485e-05,54300000000.0,120000000000.0
30.416225558703655,6.1146106568593215,0.0355890022594082,0.000593056060155,52200000000.0,92600000000.0
27.310133168822663,10.84566032812346,0.0218868802534207,-6.420057908428309e-05,80700000000.0,133000000000.0
9.985578978248611,11.916423113855046,0.0121757214272436,-0.0002052986341224,98000000000.0,131000000000.0
33.92522362826351,3.2060013228977127,0.0307028881779454,0.0022414676020529,63100000000.0,149000000000.0
74.78210267874647,14.006981870544216,0.0516205026132354,-0.0005224484941789,83400000000.0,114000000000.0
76.49999999999999,20.0,0.058283327791428,-0.0009080629845213,81500000000.0,85800000000.0
47.49715837390784,19.133417187570902,0.0377045008166788,-0.0007279811043472,94100000000.0,80200000000.0
12.937994801338192,15.231994422922508,0.0191498891006865,-0.0015174953971703,57400000000.0,140000000000.0
63.343679138550215,6.3816917698906295,0.0388581628512764,0.0003383545093477,99500000000.0,131000000000.0
70.76461630829051,17.625544285373273,0.0537856792787624,-0.0013859519116885,72500000000.0,120000000000.0
14.75779328952172,0.4259340180743596,0.0146340205115364,0.0010524549447116,95000000000.0,129000000000.0
75.72923762482117,11.539001939925232,0.0492941254144924,-8.799086484937792e-05,99400000000.0,93100000000.0
50.64534532490259,12.21583033627049,0.0557806147018451,-0.0003484914250066,52100000000.0,116000000000.0
31.49248638462823,16.40281849040418,0.0346023494606542,-0.0018566402528521,51300000000.0,130000000000.0
75.82792316486723,8.54180720180232,0.0553354400227021,0.0003033655503014,71100000000.0,137000000000.0
4.862403193657979,9.801511632104386,0.0109794321131961,1.248618074225639e-05,98000000000.0,99200000000.0
46.62091633379703,4.111574766821377,0.0494337611933791,0.0020242039144463,52600000000.0,130000000000.0
70.8645020750565,14.627801574587236,0.0542423460571156,-0.0010287424219876,68100000000.0,137000000000.0
60.37491082210643,17.77624057283348,0.0528312988938135,-0.0010606223482745,69900000000.0,95500000000.0
13.791452615821528,15.75160897866562,0.0155800385437315,-0.0009777998025968,79600000000.0,141000000000.0
15.205725893163825,11.03697165644906,0.0173723770259248,-0.0001953985055758,73100000000.0,138000000000.0
47.46819738130753,6.1681943780164215,0.0402728206278324,0.0003351893432047,83700000000.0,96100000000.0
70.62199914847061,8.87074551639,0.0566640251846329,0.0002495828629821,66000000000.0,126000000000.0
45.7557529093059,4.578194933731092,0.040705295985229,0.0010967313205537,80400000000.0,87600000000.0
67.74846512287822,4.026324144330438,0.0510354981129763,0.0004355997780513,86700000000.0,86700000000.0
10.97758541303446,6.9548499066696845,0.0158726271364917,0.0006571451198688,68800000000.0,136000000000.0
46.36352220561528,12.59381747628072,0.0401763890128691,-0.0002273271086825,92100000000.0,80000000000.0
41.27941975898641,14.164693512923648,0.0361115271560743,-0.0033054039085376,81500000000.0,95800000000.0
64.8275379585863,13.928845162571273,0.0514349669787171,-0.000782055586298,68900000000.0,128000000000.0
58.12533138259827,18.33325356251637,0.0462220697901997,-0.0007171087150355,81500000000.0,95800000000.0
29.076251257940548,8.8732035325231,0.0240624342660254,8.289015213640273e-05,74800000000.0,127000000000.0
20.930548127877255,6.906993877606467,0.0216315734993263,0.0002310577186191,80200000000.0,92800000000.0
73.33572971485859,18.700158347200823,0.0556367663946159,-0.0011201793349761,77900000000.0,99300000000.0
24.880714712689127,3.751406667088794,0.0201899325074974,0.0005204449520381,89800000000.0,124000000000.0
25.50175085207683,14.27095834630782,0.0229081996644525,-0.0001553129773301,86300000000.0,93500000000.0
55.86220789029764,10.88567249305565,0.0587832959973768,-0.0001356275976716,56300000000.0,95200000000.0
75.09432273801838,4.517222933771913,0.0727354689182304,0.0012307406727831,56700000000.0,90000000000.0
72.0905535228551,3.6684548095393614,0.0455633715594734,0.0007883061689144,90700000000.0,129000000000.0
54.7768491756071,17.32704701929779,0.0553119429381864,-0.0017167515311524,54600000000.0,118000000000.0
77.52563021046952,9.597852727579353,0.0510106911442832,3.929322880676063e-05,90900000000.0,106000000000.0
41.27941975898641,14.164693512923648,0.0425040356683453,-0.0039004861863235,68600000000.0,83000000000.0
19.858120964486012,15.390471790227412,0.0262633666193105,-0.0014727680711758,52600000000.0,117000000000.0
48.32701410737505,4.161691316763596,0.0396363384711048,0.0008978000407292,74800000000.0,127000000000.0
71.7634054879392,0.4253301490333764,0.0641157635275718,0.0022088018933619,60300000000.0,107000000000.0
27.507641364139843,0.902568285028634,0.0275301810992072,0.0021851709845512,60400000000.0,145000000000.0
73.62416808109577,9.71928801903674,0.064115523554579,4.7929821575656304e-05,65600000000.0,92900000000.0
13.814437659234017,14.75263815060144,0.0217627152927657,-0.0015634432594365,51300000000.0,130000000000.0
15.771629843767355,5.305310719761022,0.0194057169377858,0.0003645149159246,80900000000.0,83700000000.0
29.010115409268018,19.123761757798935,0.0287852462285527,-0.0015368286213807,66800000000.0,111000000000.0
50.832496697343856,6.220145423458241,0.0487411630419921,0.0006842259052576,57500000000.0,145000000000.0
17.87015482044928,8.588356651079145,0.0169155398647385,0.0001335745909843,91200000000.0,118000000000.0
20.92014916285339,7.4043015172462034,0.0260153850848071,0.0007394777631545,52100000000.0,136000000000.0
